transaction_id,date,product_category,product_name,units_sold,unit_price,total_revenue,region,payment_method
10072,2024-03-12,Sports,Nike Metcon 6,3.0,129.99,389.97,Asia,Credit Card
10073,2024-03-13,Electronics,Hp Spectre X360 Laptop,1.0,1599.99,1599.99,North America,Credit Card
10074,2024-03-14,Home Appliances,De'Longhi Magnifica Espresso Machine,1.0,899.99,899.99,Europe,Paypal
10075,2024-03-15,Clothing,Tommy Hilfiger Polo Shirt,5.0,49.99,249.95000000000002,Asia,Debit Card
10076,2024-03-16,Books,To Kill A Mockingbird By Harper Lee,4.0,14.99,59.96,North America,Credit Card
10077,2024-03-17,Beauty Products,Glossier Boy Brow,2.0,16.0,32.0,Europe,Paypal
10078,2024-03-18,Sports,Rogue Fitness Kettlebell,3.0,69.99,209.96999999999997,Asia,Credit Card
10079,2024-03-19,Electronics,Apple Airpods Pro,2.0,249.99,499.98,North America,Credit Card
10080,2024-03-20,Home Appliances,Dyson Pure Cool Link,1.0,499.99,499.99,Europe,Paypal
10081,2024-03-21,Clothing,Levi'S Trucker Jacket,2.0,89.99,179.98,Asia,Debit Card
10082,2024-03-22,Books,The Hobbit By J.R.R. Tolkien,3.0,12.99,38.97,North America,Credit Card
10083,2024-03-23,Beauty Products,Charlotte Tilbury Magic Cream,1.0,100.0,100.0,Europe,Paypal
10084,2024-03-24,Sports,Spalding Nba Street Basketball,6.0,24.99,149.94,Asia,Credit Card
10085,2024-03-25,Electronics,Ring Video Doorbell,1.0,99.99,99.99,North America,Credit Card
10086,2024-03-26,Home Appliances,Lg Oled Tv,2.0,1299.99,2599.98,Europe,Paypal
10087,2024-03-27,Clothing,Uniqlo Ultra Light Down Jacket,3.0,79.99,239.96999999999997,Asia,Debit Card
10088,2024-03-28,Books,The Catcher In The Rye By J.D. Salinger,4.0,13.99,55.96,North America,Credit Card
10089,2024-03-29,Beauty Products,Sunday Riley Good Genes,1.0,105.0,105.0,Europe,Paypal
10090,2024-03-30,Sports,On Running Cloud Shoes,2.0,129.99,259.98,Asia,Credit Card
10091,2024-03-31,Electronics,Logitech Mx Master 3 Mouse,2.0,99.99,199.98,North America,Credit Card
10092,2024-04-01,Home Appliances,Instant Pot Duo Crisp,1.0,179.99,179.99,Europe,Paypal
10093,2024-04-02,Clothing,Adidas Originals Superstar Sneakers,4.0,79.99,319.96,Asia,Debit Card
10094,2024-04-03,Books,The Alchemist By Paulo Coelho,3.0,14.99,44.97,North America,Credit Card
10095,2024-04-04,Beauty Products,Tatcha The Water Cream,1.0,68.0,68.0,Europe,Paypal
10096,2024-04-05,Sports,Garmin Fenix 6X Pro,1.0,999.99,999.99,Asia,Credit Card
10097,2024-04-06,Electronics,Bose Soundlink Revolve+ Speaker,3.0,299.99,899.97,North America,Credit Card
10098,2024-04-07,Home Appliances,Vitamix Explorian Blender,1.0,349.99,349.99,Europe,Paypal
10099,2024-04-08,Clothing,Gap Essential Crewneck T-Shirt,6.0,19.99,119.94,Asia,Debit Card
10100,2024-04-09,Books,The Power Of Now By Eckhart Tolle,2.0,12.99,25.98,North America,Credit Card
10101,2024-04-10,Beauty Products,Kiehl'S Midnight Recovery Concentrate,1.0,82.0,82.0,Europe,Paypal
10102,2024-04-11,Sports,Under Armour Hovr Sonic 4 Shoes,2.0,109.99,219.98,Asia,Credit Card
10103,2024-04-12,Electronics,Canon Eos R5 Camera,1.0,3899.99,3899.99,North America,Credit Card
10104,2024-04-13,Home Appliances,Shark Iq Robot Vacuum,2.0,349.99,699.98,Europe,Paypal
10105,2024-04-14,Clothing,H&M Slim Fit Jeans,3.0,39.99,119.97,Asia,Debit Card
10106,2024-04-15,Books,The Girl On The Train By Paula Hawkins,4.0,10.99,43.96,North America,Credit Card
10107,2024-04-16,Beauty Products,The Ordinary Niacinamide Serum,1.0,6.5,6.5,Europe,Paypal
10108,2024-04-17,Sports,Bowflex Selecttech 552 Dumbbells,1.0,399.99,399.99,Asia,Credit Card
10109,2024-04-18,Electronics,Google Nest Hub Max,2.0,229.99,459.98,North America,Credit Card
10110,2024-04-19,Home Appliances,Cuisinart Griddler Deluxe,1.0,159.99,159.99,Europe,Paypal
10111,2024-04-20,Clothing,Old Navy Relaxed-Fit T-Shirt,4.0,14.99,59.96,Asia,Debit Card
10112,2024-04-21,Books,Sapiens: A Brief History Of Humankind By Yuval Noah Harari,2.0,18.99,37.98,North America,Credit Card
10113,2024-04-22,Beauty Products,Biore Uv Aqua Rich Watery Essence Sunscreen,1.0,15.0,15.0,Europe,Paypal
10114,2024-04-23,Sports,Fitbit Versa 3,3.0,229.95,689.8499999999999,Asia,Credit Card
10115,2024-04-24,Electronics,Amazon Echo Show 10,1.0,249.99,249.99,North America,Credit Card
10116,2024-04-25,Home Appliances,Breville Smart Grill,2.0,299.95,599.9,Europe,Paypal
10117,2024-04-26,Clothing,Gap High Rise Skinny Jeans,3.0,49.99,149.97,Asia,Debit Card
10118,2024-04-27,Books,Atomic Habits By James Clear,4.0,16.99,67.96,North America,Credit Card
10119,2024-04-28,Beauty Products,Cerave Hydrating Facial Cleanser,2.0,14.99,29.98,Europe,Paypal
10120,2024-04-29,Sports,Yeti Hopper Flip Portable Cooler,1.0,249.99,249.99,Asia,Credit Card
10121,2024-04-30,Electronics,Apple Ipad Air,2.0,599.99,1199.98,North America,Credit Card
10122,2024-05-01,Home Appliances,Hamilton Beach Flexbrew Coffee Maker,1.0,89.99,89.99,Europe,Paypal
10123,2024-05-02,Clothing,Forever 21 Graphic Tee,5.0,12.99,64.95,Asia,Debit Card
10124,2024-05-03,Books,The Subtle Art Of Not Giving A F*Ck By Mark Manson,3.0,14.99,44.97,North America,Credit Card
10125,2024-05-04,Beauty Products,Nars Radiant Creamy Concealer,1.0,30.0,30.0,Europe,Paypal
10126,2024-05-05,Sports,Yeti Roadie 24 Cooler,1.0,199.99,199.99,Asia,Credit Card
10127,2024-05-06,Electronics,Sony Playstation 5,1.0,499.99,499.99,North America,Credit Card
10128,2024-05-07,Home Appliances,Dyson Supersonic Hair Dryer,2.0,399.99,799.98,Europe,Paypal
10129,2024-05-08,Clothing,Lululemon Align Leggings,3.0,98.0,294.0,Asia,Debit Card
10130,2024-05-09,Books,The Four Agreements By Don Miguel Ruiz,2.0,8.99,17.98,North America,Credit Card
10131,2024-05-10,Beauty Products,Fenty Beauty Killawatt Highlighter,1.0,36.0,36.0,Europe,Paypal
10132,2024-05-11,Sports,Hydro Flask Wide Mouth Water Bottle,4.0,39.95,159.8,Asia,Credit Card
10133,2024-05-12,Electronics,Microsoft Surface Laptop 4,1.0,1299.99,1299.99,North America,Credit Card
10134,2024-05-13,Home Appliances,Keurig K-Mini Coffee Maker,2.0,79.99,159.98,Europe,Paypal
10135,2024-05-14,Clothing,Gap Crewneck Sweatshirt,4.0,34.99,139.96,Asia,Debit Card
10136,2024-05-15,Books,Think And Grow Rich By Napoleon Hill,3.0,9.99,29.97,North America,Credit Card
10137,2024-05-16,Beauty Products,The Ordinary Hyaluronic Acid Serum,1.0,6.8,6.8,Europe,Paypal
10138,2024-05-17,Sports,Fitbit Inspire 2,2.0,99.95,199.9,Asia,Credit Card
10139,2024-05-18,Electronics,Samsung Odyssey G9 Gaming Monitor,1.0,1499.99,1499.99,North America,Credit Card
10140,2024-05-19,Home Appliances,Instant Pot Ultra,1.0,139.99,139.99,Europe,Paypal
10141,2024-05-20,Clothing,Adidas Essential Track Pants,3.0,44.99,134.97,Asia,Debit Card
10142,2024-05-21,Books,The Power Of Habit By Charles Duhigg,2.0,11.99,23.98,North America,Credit Card
10143,2024-05-22,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1.0,29.5,29.5,Europe,Paypal
10144,2024-05-23,Sports,Yeti Tundra 45 Cooler,1.0,299.99,299.99,Asia,Credit Card
10145,2024-05-24,Electronics,Apple Airpods Max,1.0,549.0,549.0,North America,Credit Card
10146,2024-05-25,Home Appliances,Cuisinart Coffee Center,2.0,199.95,399.9,Europe,Paypal
10147,2024-05-26,Clothing,Levi'S Sherpa Trucker Jacket,2.0,98.0,196.0,Asia,Debit Card
10148,2024-05-27,Books,The Outsiders By S.E. Hinton,3.0,10.99,32.97,North America,Credit Card
10149,2024-05-28,Beauty Products,Laneige Water Sleeping Mask,1.0,25.0,25.0,Europe,Paypal
10150,2024-05-29,Sports,Bose Soundsport Wireless Earbuds,2.0,149.99,299.98,Asia,Credit Card
10151,2024-05-30,Electronics,Sony Wh-1000Xm4 Headphones,1.0,349.99,349.99,North America,Credit Card
10152,2024-05-31,Home Appliances,Ninja Foodi Pressure Cooker,2.0,199.99,399.98,Europe,Paypal
10153,2024-06-01,Clothing,Nike Sportswear Club Fleece Hoodie,3.0,54.99,164.97,Asia,Debit Card
10154,2024-06-02,Books,The Night Circus By Erin Morgenstern,2.0,16.99,33.98,North America,Credit Card
10155,2024-06-03,Beauty Products,Glamglow Supermud Clearing Treatment,1.0,59.0,59.0,Europe,Paypal
10156,2024-06-04,Sports,Garmin Forerunner 245,1.0,299.99,299.99,Asia,Credit Card
10157,2024-06-05,Electronics,Google Pixel 6 Pro,1.0,899.99,899.99,North America,Credit Card
10158,2024-06-06,Home Appliances,Breville Nespresso Creatista Plus,1.0,499.95,499.95,Europe,Paypal
10159,2024-06-07,Clothing,Under Armour Tech 2.0 T-Shirt,4.0,24.99,99.96,Asia,Debit Card
10160,2024-06-08,Books,The Art Of War By Sun Tzu,3.0,7.99,23.97,North America,Credit Card
10161,2024-06-09,Beauty Products,Youth To The People Superfood Antioxidant Cleanser,1.0,36.0,36.0,Europe,Paypal
10162,2024-06-10,Sports,Triggerpoint Grid Foam Roller,2.0,34.99,69.98,Asia,Credit Card
10163,2024-06-11,Electronics,Apple Macbook Air,1.0,1199.99,1199.99,North America,Credit Card
10164,2024-06-12,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1.0,199.99,199.99,Europe,Paypal
10165,2024-06-13,Clothing,Adidas 3-Stripes Shorts,5.0,29.99,149.95,Asia,Debit Card
10166,2024-06-14,Books,The Hunger Games By Suzanne Collins,4.0,8.99,35.96,North America,Credit Card
10167,2024-06-15,Beauty Products,Neutrogena Hydro Boost Water Gel,1.0,16.99,16.99,Europe,Paypal
10168,2024-06-16,Sports,Yeti Rambler Bottle,3.0,49.99,149.97,Asia,Credit Card
10169,2024-06-17,Electronics,Samsung Odyssey G7 Gaming Monitor,1.0,699.99,699.99,North America,Credit Card
10170,2024-06-18,Home Appliances,Instant Pot Duo Evo Plus,2.0,139.99,279.98,Europe,Paypal
10171,2024-06-19,Clothing,Nike Tempo Running Shorts,3.0,34.99,104.97,Asia,Debit Card
10172,2024-06-20,Books,The Girl With The Dragon Tattoo By Stieg Larsson,2.0,9.99,19.98,North America,Credit Card
10173,2024-06-21,Beauty Products,Paula'S Choice Skin Perfecting 2% Bha Liquid Exfoliant,1.0,29.5,29.5,Europe,Paypal
10174,2024-06-22,Sports,Bowflex Selecttech 1090 Adjustable Dumbbells,1.0,699.99,699.99,Asia,Credit Card
10175,2024-06-23,Electronics,Amazon Fire Tv Stick 4K,3.0,49.99,149.97,North America,Credit Card
10176,2024-06-24,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2.0,49.99,99.98,Europe,Paypal
10177,2024-06-25,Clothing,Uniqlo Airism Mesh Boxer Briefs,4.0,14.9,59.6,Asia,Debit Card
10178,2024-06-26,Books,The Sun Also Rises By Ernest Hemingway,3.0,11.99,35.97,North America,Credit Card
10179,2024-06-27,Beauty Products,First Aid Beauty Ultra Repair Cream,2.0,34.0,68.0,Europe,Paypal
10180,2024-06-28,Sports,Oakley Holbrook Sunglasses,1.0,146.0,146.0,Asia,Credit Card
10181,2024-06-29,Electronics,Google Pixelbook Go,1.0,649.99,649.99,North America,Credit Card
10182,2024-06-30,Home Appliances,Dyson V8 Absolute,1.0,399.99,399.99,Europe,Paypal
10183,2024-07-01,Clothing,Levi'S 511 Slim Fit Jeans,3.0,59.99,179.97,Asia,Debit Card
10184,2024-07-02,Books,The Martian By Andy Weir,2.0,12.99,25.98,North America,Credit Card
10185,2024-07-03,Beauty Products,La Mer CrãÂÃÂÃÂÃÂ¨Me De La Mer Moisturizer,1.0,190.0,190.0,Europe,Paypal
10186,2024-07-04,Sports,Polar Vantage V2,1.0,499.95,499.95,Asia,Credit Card
10187,2024-07-05,Electronics,Sonos Beam Soundbar,1.0,399.0,399.0,North America,Credit Card
10188,2024-07-06,Home Appliances,Anova Precision Cooker,2.0,199.0,398.0,Europe,Paypal
10189,2024-07-07,Clothing,Nike Dri-Fit Training Shorts,4.0,34.99,139.96,Asia,Debit Card
10190,2024-07-08,Books,The Catcher In The Rye By J.D. Salinger,3.0,10.99,32.97,North America,Credit Card
10191,2024-07-09,Beauty Products,Glossier Cloud Paint,1.0,18.0,18.0,Europe,Paypal
10192,2024-07-10,Sports,Trx All-In-One Suspension Training System,1.0,169.95,169.95,Asia,Credit Card
10193,2024-07-11,Electronics,Logitech G Pro X Wireless Gaming Headset,1.0,199.99,199.99,North America,Credit Card
10194,2024-07-12,Home Appliances,Breville Smart Coffee Grinder Pro,1.0,199.95,199.95,Europe,Paypal
10195,2024-07-13,Clothing,Adidas Ultraboost Running Shoes,2.0,179.99,359.98,Asia,Debit Card
10196,2024-07-14,Books,The Road By Cormac Mccarthy,2.0,11.99,23.98,North America,Credit Card
10197,2024-07-15,Beauty Products,Tom Ford Black Orchid Perfume,1.0,125.0,125.0,Europe,Paypal
10198,2024-07-16,Sports,Gopro Hero9 Black,1.0,449.99,449.99,Asia,Credit Card
10199,2024-07-17,Electronics,Apple Tv 4K,2.0,179.0,358.0,North America,Credit Card
10200,2024-07-18,Home Appliances,Instant Pot Duo Nova,1.0,99.95,99.95,Europe,Paypal
10201,2024-07-19,Clothing,Gap 1969 Original Fit Jeans,3.0,59.99,179.97,Asia,Debit Card
10202,2024-07-20,Books,The Goldfinch By Donna Tartt,2.0,14.99,29.98,North America,Credit Card
10203,2024-07-21,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1.0,52.0,52.0,Europe,Paypal
10204,2024-07-22,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1.0,399.99,399.99,Asia,Credit Card
10205,2024-07-23,Electronics,Samsung Galaxy Watch 4,1.0,299.99,299.99,North America,Credit Card
10206,2024-07-24,Home Appliances,Kitchenaid Stand Mixer,1.0,379.99,379.99,Europe,Paypal
10207,2024-07-25,Clothing,Lululemon Wunder Under High-Rise Leggings,2.0,98.0,196.0,Asia,Debit Card
10208,2024-07-26,Books,The Great Alone By Kristin Hannah,3.0,16.99,50.97,North America,Credit Card
10209,2024-07-27,Beauty Products,Caudalie Vinoperfect Radiance Serum,1.0,79.0,79.0,Europe,Paypal
10210,2024-07-28,Sports,Bose Soundlink Color Bluetooth Speaker Ii,1.0,129.0,129.0,Asia,Credit Card
10211,2024-07-29,Electronics,Canon Eos Rebel T7I Dslr Camera,1.0,749.99,749.99,North America,Credit Card
10212,2024-07-30,Home Appliances,Keurig K-Elite Coffee Maker,2.0,169.99,339.98,Europe,Paypal
10213,2024-07-31,Clothing,Uniqlo Airism Seamless Boxer Briefs,4.0,9.9,39.6,Asia,Debit Card
10214,2024-08-01,Books,The Girl With The Dragon Tattoo By Stieg Larsson,3.0,10.99,32.97,North America,Credit Card
10215,2024-08-02,Beauty Products,L'Occitane Shea Butter Hand Cream,2.0,29.0,58.0,Europe,Paypal
10216,2024-08-03,Sports,Yeti Tundra 65 Cooler,1.0,349.99,349.99,Asia,Credit Card
10217,2024-08-04,Electronics,Apple Macbook Pro 16-Inch,1.0,2399.0,2399.0,North America,Credit Card
10218,2024-08-05,Home Appliances,Irobot Braava Jet M6,1.0,449.99,449.99,Europe,Paypal
10219,2024-08-06,Clothing,Champion Reverse Weave Hoodie,3.0,49.99,149.97,Asia,Debit Card
10220,2024-08-07,Books,The Nightingale By Kristin Hannah,2.0,12.99,25.98,North America,Credit Card
10221,2024-08-08,Beauty Products,Tarte Shape Tape Concealer,1.0,27.0,27.0,Europe,Paypal
10222,2024-08-09,Sports,Garmin Forerunner 945,1.0,599.99,599.99,Asia,Credit Card
10223,2024-08-10,Electronics,Amazon Echo Dot (4Th Gen),4.0,49.99,199.96,North America,Credit Card
10224,2024-08-11,Home Appliances,Philips Sonicare Diamondclean Toothbrush,2.0,229.99,459.98,Europe,Paypal
10225,2024-08-12,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2.0,44.99,89.98,Asia,Debit Card
10226,2024-08-13,Books,The Silent Patient By Alex Michaelides,3.0,26.99,80.97,North America,Credit Card
10227,2024-08-14,Beauty Products,The Ordinary Caffeine Solution 5% + Egcg,1.0,6.7,6.7,Europe,Paypal
10228,2024-08-15,Sports,Fitbit Luxe,2.0,149.95,299.9,Asia,Credit Card
10229,2024-08-16,Electronics,Google Nest Wifi Router,1.0,169.0,169.0,North America,Credit Card
10230,2024-08-17,Home Appliances,Anova Precision Oven,1.0,599.0,599.0,Europe,Paypal
10231,2024-08-18,Clothing,Adidas Originals Trefoil Hoodie,4.0,64.99,259.96,Asia,Debit Card
10232,2024-08-19,Books,Dune By Frank Herbert,2.0,9.99,19.98,North America,Credit Card
10233,2024-08-20,Beauty Products,Fresh Sugar Lip Treatment,1.0,24.0,24.0,Europe,Paypal
10234,2024-08-21,Sports,Hydro Flask Standard Mouth Water Bottle,3.0,32.95,98.85000000000001,Asia,Credit Card
10235,2024-08-22,Electronics,Bose Quietcomfort 35 Ii Wireless Headphones,1.0,299.0,299.0,North America,Credit Card
10236,2024-08-23,Home Appliances,Nespresso Vertuo Next Coffee And Espresso Maker,1.0,159.99,159.99,Europe,Paypal
10237,2024-08-24,Clothing,Nike Air Force 1 Sneakers,3.0,90.0,270.0,Asia,Debit Card
10238,2024-08-25,Books,The Handmaid'S Tale By Margaret Atwood,3.0,10.99,32.97,North America,Credit Card
10239,2024-08-26,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1.0,55.0,55.0,Europe,Paypal
10240,2024-08-27,Sports,Yeti Rambler 20 Oz Tumbler,2.0,29.99,59.98,Asia,Credit Card
Transaction ID,1970-01-01,Product Category,Product Name,2.0,89.99,179.98,Region,Payment Method
